Outlier_Random,Article,UniqueUser,totalRevisions,Ratio
Outlier,Abortion,19,182,0.1044
Outlier,Albert_Einstein,10,92,0.1087
Outlier,Alcoholics_Anonymous,4,174,0.023
Outlier,Anarchism,24,312,0.0769
Outlier,Anarcho-capitalism,72,138,0.5217
Outlier,Ark_of_the_Covenant,3,100,0.03
Outlier,Arsenal_F.C.,81,152,0.5329
Outlier,Astrology,13,119,0.1092
Outlier,Augusto_Pinochet,92,143,0.6434
Outlier,Autism,73,107,0.6822
Outlier,Barnard's_Star,145,266,0.5451
Outlier,Batman_(1989_film),6,127,0.0472
Outlier,Bipolar_disorder,6,217,0.0276
Outlier,Black_hole,50,81,0.6173
Outlier,Black_people,14,118,0.1186
Outlier,Blaise_Pascal,62,78,0.7949
Outlier,Blitzkrieg,74,109,0.6789
Outlier,Blue_Angels,49,122,0.4016
Outlier,Britney_Spears,30,95,0.3158
Outlier,Caffeine,96,147,0.6531
Outlier,Cane_Toad,78,123,0.6341
Outlier,Capitalism,12,206,0.0583
Outlier,Cat,106,159,0.6667
Outlier,Chicago_White_Sox,56,102,0.549
Outlier,Christmas,110,212,0.5189
Outlier,Christopher_Columbus,68,109,0.6239
Outlier,Claudius,2,108,0.0185
Outlier,Comet_Shoemaker-Levy_9,95,141,0.6738
Outlier,Condom,17,94,0.1809
Outlier,Cyberpunk,120,195,0.6154
Outlier,Deaths_in_2003,25,109,0.2294
Outlier,Diamond,56,91,0.6154
Outlier,Dianetics,6,29,0.2069
Outlier,Dinosaur,84,106,0.7925
Outlier,DNA,139,260,0.5346
Outlier,Doctor_Who,46,88,0.5227
Outlier,Donald_Rumsfeld,141,306,0.4608
Outlier,Down_syndrome,282,533,0.5291
Outlier,Eight_queens_puzzle,4,22,0.1818
Outlier,Fermi_paradox,63,102,0.6176
Outlier,Freemasonry,12,89,0.1348
Outlier,Fundamental_Dimensions,4,15,0.2667
Outlier,Game_theory,98,161,0.6087
Outlier,Glycerine,8,34,0.2353
Outlier,Henry_Ford,20,33,0.6061
Outlier,History_of_China,3,88,0.0341
Outlier,History_of_Russia,37,87,0.4253
Outlier,Human,6,39,0.1538
Outlier,Intelligent_design,31,121,0.2562
Outlier,Jim_Morrison,11,33,0.3333
Outlier,Kilogram,3,16,0.1875
Outlier,Loch_Ness_Monster,5,31,0.1613
Outlier,March_1,1,87,0.0115
Outlier,Mathematical_economics,2,14,0.1429
Outlier,Nikola_Tesla,1,47,0.0213
Outlier,October_2003,22,58,0.3793
Outlier,People's_Republic_of_China,7,91,0.0769
Outlier,Pit_Bull,4,13,0.3077
Outlier,Scriptures,2,30,0.0667
Outlier,The_Ashes,62,106,0.5849
Outlier,The_Cure,1,37,0.027
Outlier,Wikipedia_bugs,3,4,0.75
Outlier,World_Trade_Center/Plane_crash,8,34,0.2353
Random,Abner_Doubleday,5,29,0.1724
Random,Afghan,6,25,0.24
Random,Alabama,6,32,0.1875
Random,Albert_Einstein,12,101,0.1188
Random,Albinism,6,42,0.1429
Random,AmericanSamoa,2,2,1
Random,Amoeba,4,15,0.2667
Random,Ampere,6,11,0.5455
Random,Anaximander,2,30,0.0667
Random,Andrew_S._Tanenbaum,6,14,0.4286
Random,Antarctic_Treaty_System,8,20,0.4
Random,Apollo_11,4,34,0.1176
Random,AppleTalk,2,10,0.2
Random,Architectural_style,1,13,0.0769
Random,Argument_from_evolution,9,94,0.0957
Random,Aston_Martin,12,23,0.5217
Random,Astronaut,4,31,0.129
Random,Astronomical_unit,5,13,0.3846
Random,Atari_2600,7,17,0.4118
Random,AutoCAD,5,13,0.3846
Random,Bach_(disambiguation),3,10,0.3
Random,Background_radiation,2,13,0.1538
Random,Battle_of_Stalingrad,23,33,0.697
Random,Benelux,2,14,0.1429
Random,Berlin,7,87,0.0805
Random,Bestiality,1,10,0.1
Random,Big_Bang,38,71,0.5352
Random,Brigitte_Bardot,7,13,0.5385
Random,Cable_car_(railway),3,24,0.125
Random,Cathode,1,23,0.0435
Random,Cauchy_sequence,1,12,0.0833
Random,Chiba_Prefecture,2,17,0.1176
Random,Commodore_64,3,14,0.2143
Random,Connective,3,14,0.2143
Random,DC_Comics,9,16,0.5625
Random,December_10,32,46,0.6957
Random,December_25,37,52,0.7115
Random,Demon,6,26,0.2308
Random,Detroit_Red_Wings,10,19,0.5263
Random,Diesel_engine,3,12,0.25
Random,Diocletian,12,17,0.7059
Random,Eastern_Orthodox_Church,6,19,0.3158
Random,Edgar_Rice_Burroughs,1,17,0.0588
Random,Elliptic_integral,2,14,0.1429
Random,Esperanto_grammar,2,38,0.0526
Random,F-117_Nighthawk,4,10,0.4
Random,Federal_Bureau_of_Investigation,4,28,0.1429
Random,Functional_programming,4,48,0.0833
Random,German_cuisine,2,18,0.1111
Random,Group_sex,3,11,0.2727
Random,History_of_Germany,2,15,0.1333
Random,Impressionism,3,16,0.1875
Random,Inca_Empire,9,23,0.3913
Random,Interlingua,3,18,0.1667
Random,Joseph_Conrad,2,11,0.1818
Random,Kangaroo,3,13,0.2308
Random,Lagrange_equations,2,15,0.1333
Random,Laura_Bush,6,12,0.5
Random,List_of_Latin_phrases,2,26,0.0769
Random,London_Heathrow_Airport,8,10,0.8
Random,Methylenedioxymethamphetamine,5,30,0.1667
Random,Nudity,5,15,0.3333
Random,Opera_(browser),6,37,0.1622
Random,Psychedelic,5,17,0.2941
Random,Racism,6,26,0.2308
Random,Rochester_Institute_of_Technology,2,10,0.2
Random,Series_(mathematics),1,10,0.1
Random,Warmia,6,13,0.4615
