,,,,,Name,Date,User,ID,Comments,
,,,,,Anarchism,¬2005-12-09T01:01:17Z,¬Hogeye,¬287446,¬put back books ,¬0
,,,,,Anarchism,¬2005-12-09T01:07:41Z,¬Hogeye,¬287446,¬/* Parallel structures */ removed link to non-existent article ,¬0
,,,,,Anarchism,¬2005-12-09T01:09:38Z,¬Hogeye,¬287446,¬/* Technology */ e-gold link ,¬0
,,,,,Anarchism,¬2005-12-09T02:44:41Z,¬RJII,¬141644,¬/* Private property anarchism */ this is not correct. individualist don't oppose property without use. that only applies for land ..not the product of labor. ..and dont oppose wage labor either .. ,¬0
,,,,,Anarchism,¬2005-12-09T04:43:34Z,¬RJII,¬141644,¬/* The International */ more explanatory ,¬0
,,,,,Anarchism,¬2005-12-09T07:42:49Z,¬XaViER,¬204048,¬this biblio was biased ,¬0
,,,,,Anarchism,¬2005-12-09T14:20:58Z,¬Chelman,¬10661,¬rv POV biblio removal ,¬0
,,,,,Anarchism,¬2005-12-09T14:29:43Z,¬Max_rspct,¬137113,¬rv inaccurate pov edits by anarcho-capitalist editors ,¬0
,,,,,Anarchism,¬2005-12-09T15:35:52Z,¬RJII,¬141644,¬revert to chelman. edits have nothing to do with anarcho-capitalism. get over your ancap paranoia. ,¬0
 ridiculous weighting of sourcing Ï¬0,,,,,Anarchism,¬2005-12-09T15:44:54Z,¬Owen,¬23320,¬rv to xavier,
,,,,,Anarchism,¬2005-12-09T15:55:12Z,¬ip:192.188.52.98,¬ip:192.188.52.98,¬/* Modern schools of thought */ ,¬0
,,,,,Anarchism,¬2005-12-09T15:55:39Z,¬Sjakkalle,¬203358,¬Reverted edits by [[Special:Contributions/192.188.52.98|192.188.52.98]] ([[User talk:192.188.52.98|talk]]) to last version by Sarge Baldy ,¬0
,,,,,Anarchism,¬2005-12-09T15:55:51Z,¬Sjakkalle,¬203358,¬Reverted edits by [[Special:Contributions/Sjakkalle|Sjakkalle]] ([[User talk:Sjakkalle|talk]]) to last version by 192.188.52.98 ,¬0
,,,,,Anarchism,¬2005-12-09T16:09:32Z,¬Hogeye,¬287446,¬rv anti-cap vandalism ,¬0
,,,,,Anarchism,¬2005-12-09T16:14:48Z,¬ip:192.188.52.98,¬ip:192.188.52.98,¬,¬0
,,,,,Anarchism,¬2005-12-09T16:21:35Z,¬Hogeye,¬287446,¬please read dictionary defs of anarchism - see link at end of 1st paragraph ,¬0
,,,,,Anarchism,¬2005-12-09T16:33:03Z,¬RJII,¬141644,¬elimination of government is more fundamental than elimination of the state ,¬0
,,,,,Anarchism,¬2005-12-09T16:33:22Z,¬RJII,¬141644,¬] ,¬0
,,,,,Anarchism,¬2005-12-09T17:19:21Z,¬ip:192.188.52.98,¬ip:192.188.52.98,¬,¬0
,,,,,Anarchism,¬2005-12-09T17:27:39Z,¬XaViER,¬204048,¬rv vandalism by Hogeye ,¬0
