Name,Date,Count,,
-phob-,8/17/2003,14,,
1812,4/15/2003,10,,
1903_World_Series,7/10/2007,15,,
1944,3/24/2003,11,,
1948_Arab-Israeli_War,2/11/2003,15,,
1969_in_television,1/18/2003,17,,
1976_in_music,1/10/2003,30,,
1984,4/27/2004,12,,
1990,11/25/2004,11,,
1992,3/8/2003,10,,
1992_in_literature,3/22/2003,10,,
1997_in_music,12/26/2002,16,,
2001_in_literature,3/22/2003,11,,
2001_World_Series,10/15/2005,12,,
2002_FIFA_World_Cup,6/1/2002,17,,
2002_in_sports,5/7/2003,34,,
2002_Winter_Olympics,2/12/2002,11,,
2003,12/31/2003,25,,
2003_in_music,1/11/2003,30,,
2003_in_politics,1/11/2003,11,,
2003_Iraq_war_timeline,3/19/2003,11,,
2004,1/3/2004,10,,
2005,1/29/2005,10,,
2112_(album),1/10/2003,12,,
22q11.2_deletion_syndrome,7/25/2006,12,,
2nd_millennium_BC,2/21/2002,13,,
379,3/22/2002,12,,
380,3/22/2002,34,,
3rd_millennium_BC,2/21/2002,18,,
4th_millennium_BC,2/21/2002,14,,
5th_millennium_BC,2/23/2002,11,,
69_(sex_position),1/11/2003,10,,
A,3/15/2004,14,,
A.C._Milan,8/19/2005,13,,
A.S._Roma,3/30/2006,54,,
A._A._Milne,11/13/2006,18,,
A._E._Housman,6/27/2003,19,,
A._E._van_Vogt,10/9/2005,13,,
Aachen,6/19/2006,13,,
Aaliyah,7/5/2005,23,,
Aar,9/5/2007,17,,
Aardvark,5/10/2003,12,,
Aarhus,3/28/2006,11,,
Aaron,12/2/2005,12,,
Abac,2/10/2007,21,,
Abacus,2/23/2006,11,,
Abaddon,12/2/2005,11,,
Abalone,1/27/2007,11,,
Abandonware,10/21/2007,11,,
ABBA,3/30/2005,10,,
Abbey,2/14/2004,18,,
Abbreviation,1/26/2006,12,,
ABC,4/6/2006,13,,
Abd,10/14/2006,28,,
Abdul_Alhazred,8/2/2006,29,,
Abdul_Hamid_II,12/29/2005,20,,
Abelian_group,10/28/2005,19,,
Abel_Tasman,8/22/2006,13,,
Aberdare,2/25/2007,10,,
Aberdeen,12/10/2004,12,,
Aberdeen,12/4/2006,_South_Dakota,15,
Aberdeen_(disambiguation),1/22/2007,17,,
Aberdour,7/20/2007,15,,
Abergavenny,9/5/2006,14,,
Abertillery,3/29/2004,51,,
Aberystwyth,6/23/2006,11,,
Abhidhamma,10/27/2006,13,,
Abiogenesis,5/4/2005,25,,
AbiWord,10/14/2006,10,,
Abkhazia,12/23/2005,11,,
Abner_Doubleday,2/5/2007,29,,
Abracadabra,12/28/2007,10,,
Abraham,6/17/2005,24,,
Abraham_Joshua_Heschel,3/9/2007,13,,
Abraham_Lincoln,3/16/2004,14,,
Abscess,10/10/2005,12,,
Absolute_magnitude,12/9/2006,12,,
Absolute_value,5/21/2003,14,,
Absolute_zero,10/14/2005,11,,
Abstinence,5/15/2007,13,,
Abstraction,10/1/2003,18,,
Abugida,12/25/2007,14,,
Abu_Bakr,7/8/2005,10,,
Abu_Dhabi,11/2/2006,45,,
Abu_Sayyaf,9/20/2006,23,,
Abu_Zubaydah,9/6/2006,11,,
Abwehr,10/10/2005,12,,
Abydos,8/21/2006,_Egypt,18,
Acacia,3/31/2007,13,,
Academic_elitism,12/18/2005,23,,
Academy_Award,7/13/2002,23,,
Academy_Awards/Best_Picture,3/18/2002,10,,
Academy_Award_for_Best_Foreign_Language_Film,3/25/2003,11,,
Acadia_University,3/18/2006,18,,
Acapulco,4/19/2007,11,,
Accelerated_Graphics_Port,4/9/2006,10,,
Acceleration,10/25/2006,13,,
Accordion,1/7/2006,11,,
Accountancy,4/4/2006,10,,
Acetylene,10/31/2005,15,,
ACE_inhibitor,1/13/2007,15,,
ACF_Fiorentina,6/3/2006,17,,
Achilles,5/25/2005,10,,
Acid,8/2/2003,10,,
Acid-base_reaction,4/6/2007,12,,
Acid_rain,1/11/2006,10,,
Ackermann_function,11/25/2003,17,,
Acoustics,1/20/2006,14,,
Acre,2/26/2006,11,,
Acronym,6/20/2003,15,,
Acropolis,6/1/2007,12,,
Acropolis_of_Athens,2/24/2007,14,,
Acrylic_paint,10/18/2006,12,,
Acting,3/12/2007,14,,
Actinopterygii,5/17/2006,10,,
Action_film,8/4/2002,18,,
Action_potential,1/17/2003,13,,
Active_Directory,5/2/2006,12,,
Actor,9/28/2006,10,,
Actrius,10/17/2006,10,,
Acts_of_the_Apostles,9/23/2006,15,,
Acts_of_Union_1707,6/26/2006,11,,
Acupuncture,5/4/2004,10,,
Adalbert_of_Prague,2/28/2006,27,,
Adamantium,4/22/2005,11,,
Adamic_language,12/24/2007,18,,
Adam_Carolla,7/14/2005,15,,
Adam_Smith,10/20/2005,21,,
Ada_(programming_language),12/8/2006,13,,
Ada_Lovelace,1/6/2006,13,,
Addiction,4/14/2004,20,,
Addition,1/2/2003,11,,
Adelaide,1/4/2005,16,,
Adenosine_triphosphate,11/4/2004,26,,
Adhesive,7/31/2006,27,,
Adiabatic_process,12/21/2003,19,,
Adin_Steinsaltz,7/5/2005,16,,
Administrative_law,10/19/2006,10,,
Adobe,7/13/2002,14,,
Adobe_Flash,1/10/2002,10,,
Adobe_Systems,8/25/2005,11,,
Adolf_Eichmann,4/15/2005,15,,
Adrenal_gland,3/10/2004,10,,
Adrian,5/30/2007,26,,
Adrian_Lamo,1/20/2006,12,,
Advanced_Encryption_Standard,7/20/2007,10,,
Advanced_Micro_Devices,3/12/2005,13,,
Advanced_Mobile_Phone_System,1/19/2007,10,,
Advance_Australia_Fair,9/10/2007,10,,
Adversarial_system,9/21/2003,12,,
Advertising,2/9/2005,14,,
Advertising_Standards_Authority,4/15/2006,21,,
Adware,11/12/2006,11,,
Ad_hominem,7/30/2005,12,,
Aegean_civilization,8/21/2007,11,,
Aegean_Sea,9/13/2006,17,,
Aegina,7/8/2007,16,,
Aelbert_Cuyp,4/14/2007,23,,
Aelia_Capitolina,8/12/2005,14,,
Aeneas,12/7/2006,11,,
Aerodynamics,12/13/2005,14,,
Aeronautics,11/19/2007,11,,
Aerospace_engineering,4/25/2006,10,,
Aeschylus,10/5/2006,15,,
Aesthetics,12/20/2003,16,,
AFC_Ajax,7/24/2006,26,,
Affirming_the_consequent,11/2/2007,11,,
Affix,1/19/2006,21,,
Afghan,11/8/2006,25,,
Afghanistan,4/27/2005,12,,
Afghanistan_timeline_September_2001,5/7/2003,11,,
Afghan_Hound,3/24/2006,23,,
African-American_Civil_Rights_Movement_(1955-1968),6/9/2002,11,,
African_American,11/5/2003,16,,
African_National_Congress,1/21/2005,10,,
Afrikaans,4/2/2004,10,,
Afrikaner,5/7/2006,10,,
Afrika_Bambaataa,9/4/2004,12,,
Afro-Asiatic_languages,7/3/2004,14,,
Afterlife,1/7/2006,14,,
Agamemnon,10/16/2006,15,,
Agar,4/3/2006,14,,
Agarose_gel_electrophoresis,12/4/2006,12,,
Agatha_Christie,1/6/2006,13,,
Agave,8/14/2004,11,,
Aga_Khan_III,9/10/2006,21,,
Agent_Orange,2/5/2004,13,,
Age_of_consent,5/17/2005,11,,
Agglutinative_language,12/1/2007,10,,
Agni,7/29/2007,12,,
Agnosticism,5/31/2003,17,,
Agnostida,3/18/2007,17,,
Agricultural_engineering,9/26/2007,15,,
Agricultural_science,7/24/2005,13,,
Agriculture,8/22/2006,11,,
Agrippina_the_Younger,1/17/2007,12,,
Ahimsa,4/6/2004,14,,
Ahmad_Shah_Durrani,3/31/2006,11,,
Ahmad_Shah_Massoud,9/9/2006,16,,
Ahmed_al-Haznawi,3/24/2006,16,,
Ahmed_al-Nami,1/18/2002,13,,
Aikido,9/16/2004,10,,
AIM,12/15/2001,10,,
AIM-9_Sidewinder,1/6/2007,16,,
Ainu_people,7/16/2005,18,,
Airbus_A300,4/4/2007,13,,
Aircraft,4/4/2002,14,,
Aircraft_carrier,5/26/2005,21,,
Aircraft_hijacking,7/3/2006,10,,
Airline,5/13/2002,11,,
Airshow,3/23/2006,10,,
Air_(classical_element),1/5/2007,12,,
Air_conditioner,5/30/2006,11,,
Air_engine,8/10/2006,12,,
Air_force,12/8/2004,17,,
Aisha,11/16/2004,90,,
Ajanta_Caves,11/17/2005,11,,
Ajax,8/17/2006,12,,
Ajax_(mythology),2/28/2006,10,,
Ajmer,10/28/2006,10,,
AK-47,7/26/2005,22,,
AK1200,1/17/2004,14,,
Akbar,5/2/2007,12,,
Akira,10/26/2004,14,,
Akira_Kurosawa,9/1/2004,10,,
Akkad,4/5/2007,34,,
Akron,9/8/2002,_Pennsylvania,10,
Al-Qaeda,8/20/2003,15,,
Alabama,3/10/2005,10,,
Alamanni,11/30/2005,11,,
Alameda,8/12/2006,_California,18,
Alanis_Morissette,1/17/2004,16,,
Alan_Alda,1/29/2006,11,,
Alan_Ayckbourn,7/12/2006,13,,
Alan_Jay_Lerner,6/28/2006,15,,
Alan_Kay,7/22/2005,17,,
Alan_Moore,12/21/2004,20,,
Alan_Turing,10/14/2004,10,,
Alaric_I,6/14/2006,13,,
Alaska,1/28/2005,11,,
Albania,4/23/2005,16,,
Albanians,8/26/2003,12,,
Albanian_language,11/6/2005,13,,
Albedo,6/5/2003,11,,
Albert,6/8/2007,11,,
Alberta,10/17/2002,12,,
Albertosaurus,6/9/2006,10,,
Alberto_Giacometti,11/14/2006,11,,
Albertus_Magnus,2/28/2007,14,,
Albert_Camus,1/27/2005,10,,
Albert_Einstein,1/22/2003,11,,
Albert_I,8/18/2007,11,,
Albert_Pike,7/15/2007,11,,
Albert_Schweitzer,4/30/2007,17,,
Albert_Speer,6/22/2004,11,,
Albigensians,4/14/2006,13,,
Albinism,11/12/2005,10,,
Albrecht_D,9/15/2006,10,,
Alchemy,3/12/2004,11,,
Alcidamas,3/31/2007,17,,
Alcohol,4/1/2005,24,,
Alcoholic_beverage,4/20/2004,10,,
Alcoholism,11/17/2004,10,,
Alcopop,12/4/2003,10,,
Alcuin,11/14/2006,18,,
Aldebaran,9/8/2006,13,,
Aldona_of_Lithuania,4/25/2005,12,,
Aldous_Huxley,1/18/2005,10,,
Aleister_Crowley,5/22/2005,10,,
Aleksandr_Solzhenitsyn,7/31/2006,14,,
Alessandro_Volta,12/1/2005,18,,
Aleutian_Islands,6/13/2007,16,,
Alex,3/25/2004,13,,
Alexander,10/3/2006,10,,
Alexander_Fleming,1/23/2006,11,,
Alexander_Graham_Bell,2/21/2004,25,,
Alexander_Grothendieck,12/15/2003,16,,
Alexander_III_of_Russia,3/30/2006,17,,
Alexander_II_of_Russia,11/14/2005,21,,
Alexander_I_of_Russia,9/17/2004,23,,
Alexander_I_of_Scotland,12/28/2007,10,,
Alexander_Jannaeus,7/4/2006,38,,
Alexander_Kerensky,5/25/2007,10,,
Alexander_Mackenzie,7/24/2002,11,,
Alexander_of_Aphrodisias,11/13/2007,15,,
Alexander_Technique,6/11/2003,11,,
Alexander_the_Great,11/26/2004,12,,
Alexandra_Fyodorovna_(Alix_of_Hesse),8/23/2003,10,,
Alexandria,2/16/2006,10,,
Alexandria,3/14/2006,_Louisiana,12,
Alexandria,9/13/2006,_Virginia,12,
Alexis,3/15/2005,16,,
Alexis_Carrel,2/7/2006,24,,
Alex_Lifeson,3/10/2007,28,,
Alfonso,2/2/2007,10,,
Alfred_Ayer,12/31/2005,13,,
Alfred_Hitchcock,8/3/2002,15,,
Alfred_Jarry,7/17/2006,13,,
Alfred_Korzybski,6/15/2005,15,,
Alfred_Nobel,1/13/2006,16,,
Alfred_Russel_Wallace,1/31/2007,10,,
Alfred_the_Great,2/5/2007,16,,
Algae,1/6/2006,11,,
Algebra,5/20/2003,12,,
Algeria,3/6/2004,13,,
Algernon_Swinburne,10/30/2006,10,,
Algiers,8/28/2006,10,,
ALGOL,8/30/2004,15,,
Algorithm,7/20/2004,31,,
Algorithms_for_calculating_variance,1/13/2006,20,,
Alicante,6/12/2007,23,,
Alien,9/8/2005,20,,
Alien_and_Sedition_Acts,11/4/2005,12,,
Ali_G,3/21/2002,13,,
Alkali,11/22/2004,10,,
Alkane,10/15/2005,15,,
Alkene,12/13/2005,11,,
Allah,2/2/2005,16,,
Allegiance,2/5/2007,16,,
Allegory,12/7/2005,20,,
Allele,11/28/2006,11,,
Allen_Ginsberg,10/19/2005,13,,
Allocution,3/8/2006,13,,
Allosaurus,6/10/2007,10,,
Allotropy,1/8/2007,28,,
Alloy,9/27/2006,10,,
Ally_McBeal,7/16/2006,22,,
All_Quiet_on_the_Western_Front,5/2/2006,19,,
All_Souls'_Day,10/26/2006,10,,
Almond,5/8/2006,12,,
Almon_Brown_Strowger,12/31/2002,11,,
Almoravid_dynasty,6/12/2006,12,,
Aloe,12/9/2005,13,,
Alois_Alzheimer,11/3/2006,11,,
Alpaca,2/24/2006,10,,
Alphabet,12/8/2001,12,,
Alphabet_song,3/29/2007,15,,
Alpha_(letter),9/30/2005,13,,
Alpha_Centauri,9/1/2005,10,,
Alpha_decay,1/29/2007,18,,
Alphege,11/5/2005,10,,
Alps,8/5/2005,12,,
Alp_Arslan,6/19/2007,10,,
Altaic_languages,11/1/2006,15,,
Alternate_history,4/27/2005,10,,
Alternative_biochemistry,1/23/2006,11,,
Alternative_hip_hop,1/6/2003,12,,
Alternative_medicine,11/28/2003,13,,
Altruism,11/26/2004,11,,
Aluminium,12/27/2002,15,,
Alumnus,2/22/2007,11,,
Alvar_Aalto,9/3/2004,10,,
Alvin_Toffler,10/2/2002,11,,
Al_Capone,7/9/2004,10,,
AM,12/2/2005,15,,
Amalaric,8/2/2007,15,,
Amalek,1/18/2004,22,,
Amalric_II_of_Jerusalem,10/2/2007,15,,
Amaranth,3/11/2005,13,,
Amateur,11/15/2006,11,,
Amateur_astronomy,7/18/2004,12,,
Amazing_Grace,9/16/2006,16,,
Amazons,4/28/2006,17,,
Amazon_(people),1/13/2007,14,,
Amazon_River,12/1/2004,16,,
Amber,2/13/2007,10,,
Ambergris,1/24/2006,24,,
Ambiguity,12/31/2007,75,,
Ambrose,3/10/2006,15,,
Ambrose_Bierce,10/30/2002,11,,
Amdahl's_law,10/16/2002,10,,
Amedeo_Modigliani,1/27/2003,20,,
America,7/15/2005,11,,
Americanization,2/3/2007,12,,
Americans_with_Disabilities_Act_of_1990,5/5/2006,12,,
American_(word),7/20/2003,15,,
American_Airlines,7/21/2005,17,,
American_Airlines_Flight_11,7/2/2006,16,,
American_Airlines_Flight_77,4/25/2006,12,,
American_and_British_English_differences,2/19/2003,11,,
American_Chinese_cuisine,9/22/2003,10,,
American_Civil_Liberties_Union,8/26/2003,34,,
American_Civil_War,12/8/2003,11,,
American_English,2/13/2005,13,,
American_football,4/30/2003,10,,
American_Football_League,12/5/2002,12,,
American_League_Championship_Series,10/7/2006,17,,
American_League_Division_Series,12/20/2004,10,,
American_National_Standards_Institute,2/6/2006,10,,
American_Quarter_Horse,12/20/2004,14,,
American_Revolution,11/10/2004,21,,
American_Revolutionary_War,10/9/2003,10,,
American_Samoa,9/30/2006,10,,
American_Sign_Language,8/22/2005,24,,
America_the_Beautiful,8/27/2006,20,,
Americium,11/22/2007,10,,
Amerigo_Vespucci,11/3/2005,13,,
AmeriKKKa's_Most_Wanted,12/15/2006,24,,
Ames,11/18/2007,_Iowa,11,
Amethyst,12/11/2005,10,,
Amide,9/23/2006,10,,
Amiga,3/2/2006,13,,
AmigaOS,8/12/2003,10,,
Amiga_1000,5/28/2007,11,,
Amine,2/19/2006,25,,
Amino_acid,10/15/2005,12,,
Amitabh_Bachchan,8/23/2005,10,,
Ammon,6/19/2006,14,,
Ammonia,4/24/2006,10,,
Ammonius_Saccas,9/10/2007,14,,
AMMO_(U.S._Air_Force),8/21/2007,11,,
Amnesty,4/17/2006,14,,
Amnesty_International,1/23/2005,24,,
Amoeba,1/26/2006,13,,
Amos_Bronson_Alcott,11/21/2007,11,,
Ampere,10/23/2006,11,,
Amphetamine,3/15/2006,10,,
Amphibian,5/18/2005,10,,
Amphisbaena,5/2/2005,14,,
Amplifier,1/29/2006,28,,
Amplitude_modulation,12/23/2005,17,,
Amr_Diab,10/2/2006,10,,
Amsterdam,11/29/2004,12,,
Amstrad_CPC,3/29/2005,17,,
Amun,6/6/2005,49,,
Amu_Darya,7/27/2006,12,,
Amway,6/6/2005,13,,
Amygdalin,8/8/2006,23,,
Amy_Grant,4/11/2005,22,,
Ana,10/10/2006,11,,
Anabaptist,8/1/2005,16,,
Anaconda,6/20/2006,14,,
Anacreon_(poet),3/12/2006,14,,
Anagram,9/1/2005,14,,
Anaheim_Angels,10/1/2004,10,,
Analgesic,4/18/2007,17,,
Analogy_of_the_divided_line,9/22/2002,18,,
Analog_computer,12/31/2005,11,,
Analog_Science_Fiction_and_Fact,10/20/2006,10,,
Analog_signal,5/18/2006,13,,
Analog_television,8/4/2007,12,,
Analysis_(disambiguation),12/16/2007,11,,
Analysis_of_variance,8/15/2006,10,,
Analytical_chemistry,9/8/2006,11,,
Analytical_engine,12/27/2006,12,,
Anal_sex,5/30/2003,11,,
Ananda,10/28/2006,18,,
Anarchist_groups,1/18/2003,15,,
Anatolia,6/19/2006,11,,
Anatoly_Karpov,4/15/2004,17,,
Anatomy,10/31/2006,12,,
Anaxagoras,3/23/2006,11,,
Anaximander,8/10/2005,14,,
