Date,Name,Count
12/29/2001,Deaths_in_2003,55
12/30/2001,Deaths_in_2003,54
6/2/2002,Han_Dynasty,75
10/2/2002,Anarchism,79
10/20/2002,Christopher_Columbus,47
10/24/2002,Politics_of_Canada,52
11/10/2002,Old_English_language,59
11/15/2002,Timeline_of_Chinese_history,80
12/30/2002,History_of_China,55
1/12/2003,F-number,53
2/11/2003,Woman,54
3/4/2003,Idol_worship,54
3/21/2003,2003_Iraq_war_timeline,63
5/30/2003,History_of_China,88
8/8/2003,Britney_Spears,48
8/8/2003,Nikola_Tesla,47
8/14/2003,October_2003,58
8/14/2003,Atheism,49
8/18/2003,Albert_Einstein,86
8/19/2003,October_2003,52
10/15/2003,October_2003,49
10/23/2003,Frank_Herbert,60
12/7/2003,Alternative_medicine,53
2/9/2004,Climate,67
2/24/2004,Big_Bang,58
3/1/2004,Anarchism,58
3/2/2004,Chicago,50
3/29/2004,Abertillery,51
3/29/2004,Porsche_928,107
4/1/2004,Hinduism,60
4/5/2004,Communist_Party_of_the_Soviet_Union,49
4/16/2004,Luminiferous_aether,51
4/23/2004,Jew,54
4/23/2004,Temple_Mount,53
4/24/2004,Hinduism,48
4/27/2004,Jew,62
5/10/2004,Chess,49
5/21/2004,Augusto_Pinochet,107
6/6/2004,Ronald_Reagan,87
6/30/2004,Russian_language,56
7/1/2004,Prince-elector,66
7/5/2004,Calvin_and_Hobbes,51
7/27/2004,March_1,87
7/28/2004,March_1,47
8/15/2004,Axiom,110
8/27/2004,Coca-Cola,87
9/23/2004,Black_hole,81
10/18/2004,Kashrut,77
10/24/2004,Boston_Red_Sox,54
10/28/2004,Boston_Red_Sox,55
11/5/2004,Athens,59
11/12/2004,Baseball,57
11/16/2004,Aisha,90
11/19/2004,Alfred_Hitchcock,142
12/11/2004,Graffiti,53
12/11/2004,Chicago,61
12/14/2004,Color_temperature,78
12/14/2004,Atheism,60
12/15/2004,Atheism,82
12/16/2004,Doctor_Who,88
12/17/2004,Atheism,59
12/29/2004,Ariane_5,56
1/4/2005,Orca,92
1/4/2005,Tsunami,64
1/13/2005,Fermi_paradox,102
1/22/2005,Calgary,47
1/28/2005,Aquarium,58
1/28/2005,History_of_film,62
1/29/2005,History_of_film,50
1/30/2005,Evolution,50
2/11/2005,Anarcho-capitalism,62
2/12/2005,Albert_Einstein,73
2/13/2005,Creation_myth,48
2/15/2005,History_of_Russia,87
2/23/2005,Big_Bang,71
3/14/2005,Capitalism,48
3/18/2005,Capitalism,68
3/21/2005,Isaac_Asimov,84
3/28/2005,Anarcho-capitalism,53
3/31/2005,Bicycle,73
4/5/2005,Anime,68
4/6/2005,Capitalism,119
4/6/2005,Gothic_language,50
4/8/2005,Blackadder,78
4/10/2005,Abortion,53
4/12/2005,Cat,56
4/18/2005,Aramaic_language,50
4/19/2005,Apollo_8,66
4/23/2005,Canadian_Pacific_Railway,58
5/11/2005,Diamond,91
5/11/2005,Homosexuality_and_Christianity,48
5/12/2005,Abortion,67
5/19/2005,Anarcho-capitalism,51
5/20/2005,Anarcho-capitalism,46
5/23/2005,Dalek,61
5/24/2005,Blue_Whale,90
5/31/2005,Convention_on_Psychotropic_Substances,47
6/2/2005,Atlantis,50
