,,,AmericanSamoa ,2001-01-19T01:12:51Z ,ip:office.bomis.com ,ip:office.bomis.com ,*  ,1
,,,AmericanSamoa ,2007-05-24T14:41:33Z ,Ngaiklin ,4477979 ,Robot: Automated text replacement (-\[\[(.*?[\:|\|])*?(.+?)\]\] +\g<2>)  ,1
,,,Alabama ,2006-05-26T00:12:22Z ,ip:70.146.212.61 ,ip:70.146.212.61 , ,1
,,,Alabama ,2006-05-26T00:14:15Z ,Discospinster ,82432 ,Revert to revision 55147353 using [[:en:Wikipedia:Tools/Navigation_popups|popups]]  ,1
,,,Alabama ,2006-05-26T01:05:12Z ,ip:84.236.51.119 ,ip:84.236.51.119 ,/* External links */  ,1
,,,Alabama ,2006-05-26T01:24:05Z ,RJN ,681774 ,Reverted edits by [[Special:Contributions/84.236.51.119|84.236.51.119]] ([[User_talk:84.236.51.119|talk]]) to last version by Discospinster  ,1
,,,Alabama ,2006-05-26T01:31:25Z ,ip:84.236.51.119 ,ip:84.236.51.119 ,/* External links */  ,1
,,,Alabama ,2006-05-26T01:31:52Z ,Khoikhoi ,657950 ,Reverted edits by [[Special:Contributions/84.236.51.119|84.236.51.119]] ([[User talk:84.236.51.119|Talk]]) to last version by RJN  ,1
,,,Alabama ,2006-05-26T06:30:47Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T06:34:53Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T06:36:44Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T06:38:24Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T06:40:20Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T06:44:07Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T06:46:12Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T06:48:53Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T06:50:31Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T06:52:42Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T06:54:24Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T06:56:16Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:01:14Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:07:32Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:10:10Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:13:59Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:21:22Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:22:30Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:25:13Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:27:14Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:30:12Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:32:10Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:39:04Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:41:58Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:44:02Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Alabama ,2006-05-26T07:45:08Z ,ip:199.174.156.66 ,ip:199.174.156.66 ,/* Sports Teams */  ,1
,,,Apollo_11 ,2007-07-17T21:35:28Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Depiction in fiction */  ,1
,,,Apollo_11 ,2007-07-17T21:36:22Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Primary crew */  ,1
,,,Apollo_11 ,2007-07-17T21:36:39Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Support crew */  ,1
,,,Apollo_11 ,2007-07-17T21:36:50Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Backup crew */  ,1
,,,Apollo_11 ,2007-07-17T21:37:02Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Mission highlights */  ,1
,,,Apollo_11 ,2007-07-17T21:38:14Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Mission insignia */  ,1
,,,Apollo_11 ,2007-07-17T21:38:50Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Contingency television address */  ,1
,,,Apollo_11 ,2007-07-17T21:39:00Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* See also */  ,1
,,,Apollo_11 ,2007-07-17T21:39:21Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Communications link */  ,1
,,,Apollo_11 ,2007-07-17T21:39:37Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* References */  ,1
 SUGETI PULA BA MINCINOSILOR'  •1,,,Apollo_11 ,2007-07-17T21:39:50Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,[[WP:AES|‚Üê]]Replaced page with 'sa va trag LA MUIE CU LUNA VOASTRA CU TOT,
,,,Apollo_11 ,2007-07-17T21:40:05Z ,Savie_Kumara ,4784439 ,Revert to revision 145306588 dated 2007-07-17 21:39:37 by 86.105.210.6 using [[:en:Wikipedia:Tools/Navigation_popups|popups]]  ,1
,,,Apollo_11 ,2007-07-17T21:40:53Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Multimedia */  ,1
,,,Apollo_11 ,2007-07-17T21:41:22Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Crew */  ,1
,,,Apollo_11 ,2007-07-17T21:41:42Z ,Savie_Kumara ,4784439 ,rv  ,1
,,,Apollo_11 ,2007-07-17T21:41:53Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Primary crew */  ,1
,,,Apollo_11 ,2007-07-17T21:42:03Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Backup crew */  ,1
,,,Apollo_11 ,2007-07-17T21:42:33Z ,ip:86.105.210.6 ,ip:86.105.210.6 , ,1
,,,Apollo_11 ,2007-07-17T21:42:54Z ,Savie_Kumara ,4784439 ,rv  ,1
,,,Apollo_11 ,2007-07-17T21:43:24Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Lunar surface operations */  ,1
,,,Apollo_11 ,2007-07-17T21:43:32Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Primary crew */  ,1
,,,Apollo_11 ,2007-07-17T21:43:44Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Backup crew */  ,1
,,,Apollo_11 ,2007-07-17T21:43:52Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Support crew */  ,1
,,,Apollo_11 ,2007-07-17T21:43:59Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Flight director */  ,1
