Name,Count
George_W._Bush,38948
Wikipedia,26740
United_States,22467
World_Wrestling_Entertainment_roster,20838
Wii,18984
Jesus,18818
Deaths_in_2007,18124
World_War_II,17906
Adolf_Hitler,17180
2006_Lebanon_War,17019
RuneScape,16537
PlayStation_3,15512
Hurricane_Katrina,15440
Britney_Spears,15048
Islam,14580
India,14445
Deaths_in_2006,14011
Global_warming,13931
Michael_Jackson,13903
Christianity,13521
Canada,13005
Anarchism,12979
United_Kingdom,12934
The_Beatles,12908
Japan,12806
Xbox_360,12677
Muhammad,12624
Akatsuki_(Naruto),12623
New_York_City,12604
Ronald_Reagan,12456
Eminem,12349
"September_11,_2001_attacks",12156
2006_FIFA_World_Cup,11806
Bill_Clinton,11776
John_Cena,11770
Germany,11685
John_Kerry,11598
Iran,11549
Cannabis_(drug),11532
Beyoncu00e9_Knowles,11528
Albert_Einstein,11513
2007,11467
IPod,11388
Israel,11348
Mariah_Carey,11309
The_Undertaker,11251
Harry_Potter_and_the_Deathly_Hallows,11210
Scientology,11190
Elvis_Presley,11185
World_War_I,11086
Super_Smash_Bros._Brawl,10871
Jehovah's_Witnesses,10843
Evolution,10726
Harry_Potter,10689
Organization_XIII,10689
Hinduism,10679
World_Wrestling_Entertainment,10673
Lost_(TV_series),10650
Saddam_Hussein,10525
Green_Day,10347
List_of_ethnic_slurs,10343
Intelligent_design,10298
Pope_Benedict_XVI,10185
Ann_Coulter,10175
Triple_H,10164
William_Shakespeare,10107
European_Union,10096
Bill_Gates,10056
Virginia_Tech_massacre,10045
Halo_3,10033
Star_Wars,10025
Metallica,9917
South_Park,9887
Wiki,9873
Madonna_(entertainer),9840
The_Simpsons,9834
List_of_experiments_from_Lilo_&_Stitch,9826
The_Holocaust,9792
Red_Hot_Chili_Peppers,9785
Christina_Aguilera,9770
50_Cent,9754
George_Washington,9698
List_of_Omnitrix_aliens,9692
List_of_best-selling_music_artists,9684
Joseph_Stalin,9626
Pakistan,9624
Hilary_Duff,9603
Led_Zeppelin,9588
2004_Indian_Ocean_earthquake,9564
2006,9549
Fidel_Castro,9533
England,9506
Vietnam_War,9405
Osama_bin_Laden,9386
Greece,9364
Australia,9344
Turkey,9283
Cat,9251
Tony_Blair,9202
Manchester_United_F.C.,9162
Paris_Hilton,9151
Kingdom_Hearts_II,9134
Homosexuality,9112
God,9073
Brazil,8924
America's_Next_Top_Model,8906
PlayStation_Portable,8878
Pope_John_Paul_II,8862
Windows_Vista,8849
Buddhism,8838
John_F._Kennedy,8805
Abortion,8767
Italy,8677
Abraham_Lincoln,8665
Iraq_War,8652
Jyllands-Posten_Muhammad_cartoons_controversy,8643
France,8627
Mexico,8571
Real_Madrid_C.F.,8531
Blackout_(Britney_Spears_album),8529
Hugo_Chu00e1vez,8495
Batman,8492
Leet,8457
Russia,8433
Roger_Federer,8416
China,8380
Lindsay_Lohan,8361
Cuba,8358
Liverpool_F.C.,8332
Kobe_Bryant,8329
Ireland,8318
The_Legend_of_Zelda:_Twilight_Princess,8314
Bill_O'Reilly_(commentator),8259
Atheism,8255
24_(TV_series),8242
Heroes_(TV_series),8227
Celtic_F.C.,8221
London,8197
Mario,8196
Linkin_Park,8184
Sonic_the_Hedgehog_(character),8145
Chicago,8138
Microsoft,8125
World_of_Warcraft,8124
Shadow_the_Hedgehog,8111
Michael_Jordan,8104
Earth,8074
9/11_conspiracy_theories,8069
Spain,8067
Superman,8062
Racism,8056
Terri_Schiavo,8055
Dog,8049
Avatar:_The_Last_Airbender,8038
Philippines,8033
MapleStory,8010
2007_in_music,7992
Toronto,7987
"United_States_presidential_election,_2008",7975
Tupac_Shakur,7937
Paul_McCartney,7904
Hillary_Rodham_Clinton,7904
The_Game_(rapper),7845
Poku00e9mon,7798
Guns_N'_Roses,7765
FC_Barcelona,7765
Google,7758
American_Civil_War,7706
Spider-Man,7694
Dave_Bautista,7682
Neighbours,7659
Neuro-linguistic_programming,7604
Hezbollah,7604
Mohandas_Karamchand_Gandhi,7592
David_Beckham,7571
Che_Guevara,7563
Adam_Copeland,7559
Shawn_Michaels,7532
Wal-Mart,7467
Ku_Klux_Klan,7442
Hulk_Hogan,7438
Great_Depression,7432
Kurt_Cobain,7422
2005_Atlantic_hurricane_season,7417
"Martin_Luther_King,_Jr.",7408
Association_football,7404
Scotland,7400
The_Suite_Life_of_Zack_&_Cody,7383
Naruto_Uzumaki,7379
Barry_Bonds,7375
Kurt_Angle,7371
Spider-Man_3,7345
Freddie_Mercury,7342
Jennifer_Lopez,7330
Randy_Orton,7316
Tsunami,7304
Transformers_(film),7281
Roman_Catholic_Church,7277
Genghis_Khan,7273
Darth_Vader,7273
Pink_Floyd,7271
Naruto,7244
People's_Republic_of_China,7206
Capitalism,7190
Communism,7166
September_2005,7146
Neopets,7141
Friends,7134
Republican_Party_(United_States),7103
Radiohead,7100
Sweden,7097
Barack_Obama,7094
Family_Guy,7083
Kelly_Clarkson,7061
High_School_Musical,7060
Emo,7059
Christopher_Columbus,7051
Son_Goku_(Dragon_Ball),7048
SpongeBob_SquarePants,7044
MySpace,7030
Oscar_Gutierrez,7020
Alexander_the_Great,7001
White_people,6983
RMS_Titanic,6974
New_Zealand,6962
Democratic_Party_(United_States),6961
Solar_System,6954
G-Unit,6924
My_Chemical_Romance,6918
"Los_Angeles,_California",6909
Al_Gore,6901
Democracy,6894
Avril_Lavigne,6892
James_Bond,6885
McDonald's,6857
Asperger_syndrome,6855
The_Church_of_Jesus_Christ_of_Latter-day_Saints,6852
Glen_Jacobs,6849
Christmas,6821
Jimmy_Wales,6812
Fuck,6797
Martin_Luther,6795
Puerto_Rico,6786
Nintendo_DS,6780
Leonardo_da_Vinci,6774
Julius_Caesar,6765
Sonic_the_Hedgehog_(2006_game),6747
"Houston,_Texas",6746
Doctor_Who,6723
Singapore,6718
President_of_the_United_States,6717
"San_Francisco,_California",6715
Freemasonry,6715
Internet,6677
Heavy_metal_music,6667
Attack_on_Pearl_Harbor,6661
Thomas_and_Friends_video_releases,6648
Dick_Cheney,6643
Gay,6637
Fall_Out_Boy,6625
Home_and_Away,6622
Linux,6618
Thomas_Edison,6618
Paris,6617
Winston_Churchill,6616
Romania,6607
Apple_Inc.,6603
Elizabeth_II_of_the_United_Kingdom,6554
Arsenal_F.C.,6546
Charles_Darwin,6546
Jessica_Simpson,6543
Argentina,6528
AIDS,6517
War_of_1812,6483
Mozilla_Firefox,6482
Football,6481
Jew,6480
Homer_Simpson,6472
Amy_Dumas,6458
Jimi_Hendrix,6455
Queen_(band),6448
U2,6442
John_Howard,6420
System_of_a_Down,6408
Poland,6396
Spells_in_Harry_Potter,6388
Portugal,6386
2003_invasion_of_Iraq,6370
Theodore_Roosevelt,6363
LeBron_James,6360
Texas,6359
Punk_rock,6353
Europe,6351
7_July_2005_London_bombings,6350
Slipknot_(band),6329
Elizabeth_I_of_England,6322
Spice_Girls,6316
North_Korea,6309
Penis,6308
Coca-Cola,6294
Korn,6294
